Lead	City	Current Category	Make	Model	Variant	Make Year	Fuel Type	Transmission Type	Mileage	Ownership	Procurement Price
25036248	Mumbai	auction	Mahindra	Scorpio	VLX 2WD BS-III	2009	diesel	manual	224475	1	145000
24844738	Kolkata	assured	Hyundai	Santro	Era Executive	2020	petrol	manual	44201	1	235000
24440394	Bangalore	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2019	petrol	manual	31791	1	425000
24618843	Jaipur	assured	Renault	Kwid	RXL	2016	petrol	manual	33407	1	160000
24513550	Bangalore	assured	Hyundai	Elite i20	Asta 1.4 CRDI (O)	2017	diesel	manual	81841	1	540000
21118141	Delhi	assured	Ford	EcoSport	Titanium 1.5 Ti-VCT AT	2014	petrol	automatic	46513	1	231000
24912190	Chennai	assured	Renault	Kwid	RXT 1.0	2023	petrol	manual	12595	1	380000
25082484	Ahmedabad	assured	Maruti Suzuki	Alto 800	LXI CNG (outside fitted)	2015	cng	manual	73212	2	163000
24819727	Pune	budget	Maruti Suzuki	Brezza	ZXi	2023	petrol	manual	42701	1	775000
22248140	Hyderabad	assured	Kia	Sonet	HTX 1.5 Diesel iMT	2023	diesel	manual	28310	1	950200
24330719	Bangalore	budget	Maruti Suzuki	Swift	ZXi	2014	petrol	manual	41791	2	328000
24359064	Pune	budget	Hyundai	i10	Asta 1.2 Kappa2	2011	petrol	manual	90477	1	140000
24214617	Delhi	assured	Mahindra	Scorpio	S5	2022	diesel	manual	36102	1	972500
24351089	Delhi	assured	Maruti Suzuki	Celerio	ZXi	2019	petrol	manual	47329	1	300000
24580754	Kolkata	auction	Maruti Suzuki	Swift	ZXi	2016	petrol	manual	86411	1	300000
21878799	Bangalore	auction	Hyundai	i10	Sportz 1.2 Kappa2	2013	petrol	manual	58950	1	262000
25089755	Hyderabad	assured	Hyundai	Eon	Sportz	2018	petrol	manual	45399	2	251000
25141660	Pune	budget	Hyundai	i10	Magna 1.1 iRDE2	2015	petrol	manual	84070	1	185000
25101133	Delhi	auction	Maruti Suzuki	Dzire	Tour S CNG	2018	petrol+cng	manual	80598	1	262000
25163723	Bangalore	auction	Skoda	Laura	RS	2012	petrol	manual	124082	1	471000
22617576	Hyderabad	budget	Ford	EcoSport	Titanium+ 1.5L TDCi	2016	diesel	manual	148768	2	405000
22506831	Delhi	budget	Tata	Tiago	XZ+ Petrol+cng(outside fitted)	2019	cng	manual	49760	1	340000
21495727	Delhi	auction	Honda	City	1.5 V AT	2011	petrol	automatic	77011	2	135000
24255075	Delhi	assured	Hyundai	Alcazar	Signature (O) 7 STR 1.5 Petrol DCT	2024	petrol	automatic	27373	1	1387000
24594505	Bangalore	assured	Maruti Suzuki	Ciaz	ZXI+ AT	2016	petrol	automatic	67116	1	501000
24303301	Mumbai	auction	Mahindra	XUV500	W6	2015	diesel	manual	145709	2	340000
24512033	Ahmedabad	budget	Maruti Suzuki	Dzire	ZXi Plus AGS	2022	petrol	automatic	37107	2	531000
24220403	Delhi	budget	Maruti Suzuki	Eeco	5 STR AC (O)	2022	petrol	manual	35913	1	341000
24338503	Delhi	budget	Renault	Kwid	RXT	2016	petrol	manual	15465	1	130000
24540713	Mumbai	auction	Toyota	Innova	2.5 GX 7 STR BS-III	2010	diesel	manual	25375	1	235000
25149306	Kolkata	assured	Maruti Suzuki	S-Presso	VXi Plus AMT	2022	petrol	automatic	9622	1	334000
25116339	Pune	assured	Maruti Suzuki	Swift Dzire	VXI	2013	petrol	manual	71127	1	285000
25172574	Bangalore	budget	Hyundai	Grand i10	Asta AT 1.2 Kappa VTVT	2015	petrol	automatic	37092	1	376000
25200179	Ahmedabad	assured	Renault	Kwid	1.0 RXT	2018	petrol	manual	35290	1	175000
22375202	Bangalore	assured	MG Motors	Hector	Sharp 2.0 Diesel Turbo MT	2023	diesel	manual	37577	1	1400000
22201545	Mumbai	assured	Maruti Suzuki	Ignis	Alpha 1.2 AMT	2019	petrol	automatic	33958	1	450000
22562401	Jaipur	assured	Tata	Tiago	XZ Plus	2022	petrol	manual	58856	1	420000
15726106	Lucknow	assured	Ford	EcoSport	Titanium 1.5 Ti-VCT AT	2015	petrol	automatic	66924	1	335000
24562861	Bangalore	assured	Renault	Triber	RXZ	2021	petrol	manual	38715	1	482000
24471027	Kolkata	assured	Maruti Suzuki	Dzire	ZXi Plus	2018	petrol	manual	28911	1	431000
24409219	Hyderabad	budget	Hyundai	Elite i20	Sportz 1.4 CRDI	2017	diesel	manual	108283	1	460000
24447751	Delhi	assured	Kia	Seltos	HTX 1.5	2020	petrol	manual	52846	1	750000
